"SUPPORT_FUNCTION_SK","SUPPORT_FUNC_NAME","RESOLVER_LEVEL"
"569,370,815",O365 - Performance issues,2
"569,427,621",Replacement,2
"571,364,445",OnePacs,2
"216,411,655",Outage,3
"569,455,173",Global Protect - How To Access,2
"569,357,766",Wrong Number,1
"569,435,129",How To Access,1
"215,177,229",Break Fix,3
"569,285,002",VMWare - Configuration,2
"569,377,000",General Inquiries / General Troubleshooting,1
"569,396,255",Replacement,2
"569,331,674",Other Login - Performance issues,2
"572,525,351",Access,2
"576,149,213",Locked\Fraud,2
"412,144,247",Password Reset,1
"569,442,817",Desktop Printer - Connectivity Issues,2
"569,463,306",Mobile Phone - General Inquiries / General Troubleshooting,3
"214,622,108",Degraded Performance,3
"572,594,690",How to,2
"569,373,505",Freezing / Not responding,2
"636,809,565",Degraded Performance,1
"569,253,751",O365 - Sync,2
"569,276,714",VDI - Access Issues,1
"569,463,331",O365 - Error Message,2
"569,309,093",Monitors - Performance issues,2
"215,023,951",How to - Business Application,3
"569,270,152",Update/Modify Access,2
"569,357,723",VDI - Create / New Access,1
"572,710,561",How to,2
"569,425,026",Repair,2
"569,408,071",How To Access,1
"569,288,653",ISP - Connection Error,2
"215,133,976",Password Reset,1
"569,246,134",Configuration,2
"569,449,603",Connectivity Issues,1
"569,342,561",Windows - Map Drive,2
"627,696,937",Access,1
"627,899,114",Configuration,1
"215,047,037",How to access,1
"572,579,115",How to,2
"569,393,599",VMWare - Performance issues / Latency,2
"572,710,642",MAC,2
"569,285,184",Performance issues,2
"215,123,969",New/Delete Active Directory groups,1
"569,424,472",Access to Resources - Not working /Not Starting,2
"569,319,198",Security - Configuration,2
"569,292,999",Other Login - Error Message,2
"576,025,356",Request New,2
"572,571,705",Outage,2
"569,338,790",Zero Client - Connectivity Issues,2
"569,354,765",Access to Resources - Error Message,2
"569,316,742",MFP - Hardware issue,2
"569,386,128",Outlook - Configuration,1
"571,409,834",Replace,2
"569,442,790",Windows - Confidential document Share,2
"572,540,663",Ring Central MAC,2
"569,393,401",Laptops - Docking Station,2
"627,868,158",Login,1
"215,017,397",Configuration,3
"569,311,341",VCC - Access Issues,2
"572,587,018",Error Message,2
"572,618,155",Error Message,2
"571,439,331",Notification\Popup,2
"569,262,068",New Access,2
"572,718,158",Error Message,2
"571,460,197",Configuration,2
"569,458,310",How To Use,1
"569,400,689",Desktops - Hardware Request,2
"571,263,266",Replace,2
"569,250,281",Knowledge Lake - General Inquiries / General Troubleshooting,2
"638,197,793",Google Chrome - Basic Browser Support,1
"569,270,107",Mobile Phone - IMAC,2
"572,625,822",Office365,2
"571,303,354",Ring Central  Degraded Performance,2
"569,450,566",Genesys - Connection Error,3
"569,396,500",Email - Spam,2
"572,618,183",VPN,2
"569,373,568",Application Freezing / Not responding,2
"569,254,539",Condeco - Configuration,2
"627,380,864",Test - Chat,1
"569,411,948",ISP - General Inquiries / General Troubleshooting,2
"571,371,245",Configuration,2
"569,446,671",Not working /Not Starting,2
"569,388,847",VDI - Performance issues,2
"414,014,518",Software Install,1
"569,296,210",VPN - Configuration,2
"572,571,511",Error Message,2
"571,301,729",Configuration,2
"571,433,156",Notification,2
"575,948,522",Request New,2
"571,278,644",Configuration,2
"569,285,183",General Inquiries / General Troubleshooting,1
"572,710,415",Break Fix,2
"572,548,620",Error Message,2
"571,371,517",Configuration,2
"569,346,812",Zero Client - Not working /Not Starting,2
"572,672,163",How to,2
"569,324,021",Error Message,2
"571,253,854",Configuration,2
"569,385,493",Zero Client - Replacement,2
"414,126,732",Error Message,3
"572,486,611",Error Message,2
"569,249,758",TIPS - Access Issues,1
"569,246,966",Monitors - Not working /Not Starting,2
"571,278,595",Account - MAC,2
"569,396,499",Email - Create Distribution List,2
"591,317,814",Tyto,3
"569,424,573",Configuration,2
"638,313,749",Websites - 3rd party - Error message,1
"638,391,680",CyberArk - General Inquiries / General Troubleshooting,1
"569,369,906",Desktops - Hardware issue,2
"569,254,229",General Inquiries / General Troubleshooting,1
"215,220,205",Configuration,3
"572,563,904",Configuration,2
"569,304,015",Windows - Connection Error,2
"569,381,348",Update/Modify Access,2
"569,401,267",OpenPath - General Inquiries / General Troubleshooting,2
"569,334,806",Windows - Installation,2
"577,165,402",Error Message,2
"569,381,350",Access Issues,2
"569,392,666",Email - Connection Error,2
"569,331,455",Laptops - Error Message,2
"626,421,107",Service Advisory - Sev1,1
"615,597,458",Token issues,1
"572,556,264",RingCentral\MAXagent,2
"569,296,391",Genesys - Performance issues,3
"215,067,169",How to,1
"569,435,003",Password Reset / Unlock Account,1
"215,073,903",Setup,3
"214,798,153",Degraded Performance,3
"569,362,765",LAN - Connection Error,2
"403,712,360",Access,3
"569,389,042",VPN - Connection Error,2
"569,277,739",Not working /Not Starting,2
"569,319,014",VCC - Create / New Access,2
"569,247,503",ServiceNow - Create / New Access,2
"569,485,512",WiFi - Access Issues,2
"572,672,160",Error Message,2
"576,170,145",How to,2
"569,432,263",VMWare - Installation,2
"569,300,720",Error Message,2
"572,533,035",Error Message,2
"600,572,352",Desktops - Return equipment,1
"569,465,970",Desktop Printer - Performance issues,1
"569,411,669",Monitors - Hardware issue,2
"600,387,423",Laptops - Return equipment,1
"569,280,964",VPN - Access Issues,2
"572,586,777",Error Message,2
"569,470,188",Access Issues,2
"214,602,769",Degraded Performance,3
"569,481,196",Windows - Not working /Not Starting,2
"569,253,836",Email - How To Use,2
"569,273,071",Email - Update/Modify Access,2
"638,251,525",Intune - Error Message,1
"576,102,820",Request New,2
"215,090,643",Create (Onboarding),1
"333,108,108",Ring Central Configuration,1
"215,067,170",Configuration,3
"569,300,917",How To Access,1
"571,325,159",MAC,2
"569,435,161",Azure - General Inquiries / General Troubleshooting,2
"569,246,823",VMWare - Not working /Not Starting,2
"572,548,507",Break Fix,2
"572,563,902",Other,2
"636,896,074",Configuration,1
"569,473,655",Hardware Request,2
"569,393,541",Mobile Phone - Hardware issue,3
"627,411,878",Test - Call,1
"569,311,731",CI not Found,1
"569,354,766",Configuration,2
"215,080,527",Configuration,3
"569,253,793",ServiceNow - Access Issues,2
"569,332,157",Monitors - Shutting Down /Not Working,2
"571,284,671",Configuration,2
"626,218,840",Service Advisory - Notice,1
"569,471,021",Thin Clients - Internet Connectivity,2
"569,457,893",Repair,2
"569,484,795",How To Use,1
"569,247,447",MFP - Connectivity Issues,2
"413,962,147",Setup,3
"638,275,682",Google Chrome - Application Error,1
"569,388,967",Genesys - Repair,3
"569,424,473",Global Protect - Password Reset / Unlock Account,2
"569,477,533",Not working /Not Starting,2
"569,273,157",TCO - Access Issues,2
"215,070,509",Error Message,3
"569,342,432",Windows - Error Message,2
"572,717,939",Error Message,2
"569,338,916",Desktops - Performance issues,2
"215,023,954",Configuration,3
"569,263,002",Access to Resources - How To Access,2
"215,200,425",How to,1
"569,408,996",Error Message,2
"569,338,966",Desktops - Replacement,2
"569,362,498",How To Use,1
"572,563,985",Degraded Performance,2
"569,370,130",Condeco - How To Access,2
"571,301,728",MAC,2
"569,373,446",Windows - Performance issues,2
"571,333,591",Windows,2
"215,123,970",Map Drive,1
"571,363,331",Add/Change/Remove Channel or Team,2
"569,257,949",How To Access,1
"572,633,435",Error Message,2
"569,310,607",Azure - Configuration,2
"569,242,103",Monitors - Hardware Request,2
"569,299,972",How To Use,1
"569,307,604",General Inquiries / General Troubleshooting,1
"569,404,390",ISP - Not working /Not Starting,2
"569,396,353",Certificates - Error Message,2
"569,338,860",Other - General Inquiries / General Troubleshooting,2
"569,262,287",Connectivity Issues,1
"569,370,315",Mobile Phone - Error Message,2
"569,324,022",Global Protect - General Inquiries / General Troubleshooting,2
"600,433,692",WeLearn - Access Issues,1
"569,284,437",Hardware issue,2
"569,280,821",Error Message,2
"569,288,606",Not working /Not Starting,2
"575,948,763",MAC,2
"569,435,251",Windows - Share Drive Access Change,2
"592,774,906",Break Fix,2
"569,311,724",How To Access,1
"215,183,886",Configuration,3
"333,288,859",Account Unlock,1
"569,262,527",Other Login - Access Issues,2
"572,579,317",Break Fix,2
"569,330,710",O365 - Mail,1
"571,348,039",Configuration,2
"569,385,603",Freezing / Not responding,2
"569,350,282",General Inquiries / General Troubleshooting,1
"569,286,015",O365 - Update/Modify,1
"571,270,916",MAC,2
"569,465,528",VCC - Installation,2
"569,481,001",Password Reset / Unlock Account,1
"569,254,340",Adobe Suite - Error Message,1
"569,469,687",Laptops - Performance issues,2
"569,416,185",Other - Connectivity Issues,2
"638,384,740",Sharepoint - Access Issue,1
"569,416,583",Access Issues,2
"569,346,677",Desktops - Repair,2
"569,280,963",VPN - Error Message,2
"569,432,003",Laptops - Hardware Upgrade,2
"569,256,740",Azure - Access Issues,2
"569,431,724",Not working /Not Starting,2
"215,177,230",Break Fix,3
"569,332,164",Access to Resources - Sync,2
"571,387,798",Configuration,2
"569,268,956",Zero Client - How To Access,2
"569,466,077",Virtual Machine - Configuration,2
"569,450,101",Update/Modify Access,2
"569,254,793",New Access,2
"569,288,219",VCC - Not working /Not Starting,2
"569,447,300",WiFi - Performance issues/Latency,2
"572,679,673",Error Message,2
"214,765,527",Degraded Performance,3
"569,473,698",Access Issues,2
"569,285,551",Update/Modify Access,2
"571,417,927",Configuration,2
"569,424,682",Mobile Phone - Performance issues,2
"571,404,005",Configuration,2
"572,610,225",Error Message,2
"569,469,686",Sync,1
"569,257,856",Hardware issue,2
"216,371,560",Outage,3
"569,427,618",Genesys - Create / New Access,3
"569,292,653",Mobile Phone - Internet Connectivity,3
"569,257,855",TCO - Application Freezing / Not responding,2
"216,468,424",Connectivity,3
"569,416,881",Performance issues,2
"569,365,676",TCO - Connection Error,2
"569,270,065",VPN Access,2
"636,715,846",Outage,1
"572,671,956",Outage,2
"215,097,312",How to,1
"569,423,677",General Inquiries / General Troubleshooting,1
"569,288,191",VCC - Performance issues,2
"569,280,795",Windows - Application Freezing / Not responding,2
"414,126,733",Error Message,3
"569,471,013",Access to Resources - Permission Issues,2
"569,443,037",Knowledge Lake - How To Access,2
"569,458,373",Adobe Suite - Update/Modify,1
"640,494,710",TIPS - Claim Report,1
"569,432,724",Access to Resources - General Inquiries / General Troubleshooting,2
"638,235,819",CyberArk - Access Issues,1
"629,143,068",Test - Self-Service,1
"627,821,529",Login,1
"569,277,275",VMWare - Password Reset / Unlock Account,2
"216,398,265",Outage,3
"569,401,375",Hardware issue,2
"412,114,557",ECW Concurrency Lock,1
"569,301,243",Access Issues,2
"569,381,349",Configuration,2
"571,411,473",Ring Central Break Fix,2
"572,610,205",How to,2
"569,486,210",MFP - Driver,2
"640,028,987",SF Not Found,1
"569,257,950",Genesys - Application Freezing / Not responding,3
"215,063,810",Password Reset,1
"569,435,255",Genesys - Permission Issues,3
"569,393,987",Connection Error,2
"572,602,637",Break Fix,2
"569,480,033",Azure - Password Reset / Unlock Account,2
"629,174,435",Test - Email,1
"569,392,721",Mobile Phone - Not working /Not Starting,2
"569,477,975",WiFi - Configuration,2
"569,281,041",Knowledge Lake - How To Use,2
"571,471,445",Request New,2
"569,273,158",Desktop Printer - IMAC,2
"561,183,411",New Device\Reset,3
"214,635,102",Degraded Performance,3
"215,167,115",Configuration,3
"215,157,250",Error Message,3
"572,579,224",Degraded Performance,2
"572,579,108",Error Message,2
"572,672,284",Outage,2
"569,288,706",Virtual Machine - Application Freezing / Not responding,2
"577,304,341",Configuration,2
"569,466,082",Permission Issues,2
"571,348,038",Locked\Fraud,2
"569,481,197",Windows - Update/Modify,2
"569,308,863",DNS - Connection Error,2
"572,563,875",MAC,2
"576,164,409",Configuration,2
"592,743,960",Error Message,2
"385,052,480",Equipment Request,0
"569,338,473",Calendar,1
"569,362,231",WiFi - Connection Error,2
"575,948,765",Request New,2
"572,594,744",ECW,2
"572,533,105",Break Fix,2
"572,532,853",Degraded Performance,2
"571,355,648",Sofia,2
"571,473,069",Ring Central - Error Message,2
"569,450,100",TIPS - Installation,2
"571,264,883",Ring Central - Replace,2
"569,254,750",Mobile Phone - Replacement,3
"569,370,760",Monitors - Error Message,2
"615,551,012",Authentication issues,1
"215,180,575",Configuration,3
"569,481,260",Create / New Access,2
"571,294,365",MAC,2
"575,972,787",ECW Concurrency Lock,1
"569,481,069",Windows - Configuration,2
